category_id,category_name,category_slug,seo_title,meta_description,focus_keyword,category_url
3564,Toilets & Bidets,toilets-bidets,Shop Toilets & Bidets | Latest Trends & Affordable Prices,"Browse our premium collection of toilets & bidets. Shop top styles, quality brands, and exclusive deals online today!","['toilets & bidets', 'buy toilets & bidets', 'toilets & bidets online']",https://pay.4more.ca/product-category/toilets-bidets/
3359,Outdoor Furniture,outdoor-furniture,Shop Outdoor Furniture | Latest Trends & Affordable Prices,"Browse our premium collection of outdoor furniture. Shop top styles, quality brands, and exclusive deals online today!","['outdoor furniture', 'buy outdoor furniture', 'outdoor furniture online']",https://pay.4more.ca/product-category/outdoor-furniture/
3360,Cleaning Tools & Equipment,cleaning-tools-equipment,Essential Cleaning Tools & Equipment | 2025 Buyer's Guide,"Clean smarter, not harder. Our 2025 buyer's guide reviews the best vacuum cleaners, steam mops, microfiber cloths, and other essential cleaning tools.","['cleaning tools', 'cleaning equipment', 'best vacuum cleaner 2025', 'mops and brooms', 'robotic vacuums', 'microfiber cleaning cloths.']",https://pay.4more.ca/product-category/cleaning-tools-equipment/
3361,Doors & Windows,doors-windows,Shop Doors & Windows | Latest Trends & Affordable Prices,"Browse our premium collection of doors & windows. Shop top styles, quality brands, and exclusive deals online today!","['doors & windows', 'buy doors & windows', 'doors & windows online']",https://pay.4more.ca/product-category/doors-windows/
3565,Smart Entertainment,smart-entertainment,Shop Smart Entertainment | Latest Trends & Affordable Prices,"Browse our premium collection of smart entertainment. Shop top styles, quality brands, and exclusive deals online today!","['smart entertainment', 'buy smart entertainment', 'smart entertainment online']",https://pay.4more.ca/product-category/smart-entertainment/
3362,Mirrors,mirrors,Shop Mirrors | Latest Trends & Affordable Prices,"Browse our premium collection of mirrors. Shop top styles, quality brands, and exclusive deals online today!","['mirrors', 'buy mirrors', 'mirrors online']",https://pay.4more.ca/product-category/mirrors/
5869,Water & Dive Toys,water-dive-toys,Water & Dive Toys | Underwater Games & Rings,"Make pool time more exciting with our water and dive toys! Great for games and improving swim skills. Shop dive rings, torpedoes, and more.","['Dive toys', 'water toys', 'pool diving toys', 'underwater toys', 'swim-thru rings', 'dive sticks', 'torpedo bandits', 'pool games for kids.']",https://pay.4more.ca/product-category/water-dive-toys/
5870,Team Sports,team-sports,Shop Team Sports | Latest Trends & Affordable Prices,"Browse our premium collection of team sports. Shop top styles, quality brands, and exclusive deals online today!","['team sports', 'buy team sports', 'team sports online']",https://pay.4more.ca/product-category/team-sports/
3340,Books & Media,books-media,Shop Books & Media | Latest Trends & Affordable Prices,"Browse our premium collection of books & media. Shop top styles, quality brands, and exclusive deals online today!","['books & media', 'buy books & media', 'books & media online']",https://pay.4more.ca/product-category/books-media/
3365,Waste Management (Trash Cans & Liners),waste-management-trash-cans-liners,A Guide to Trash Cans & Liners in Oakville & Halton (2025),"Find the best kitchen trash cans, recycling bins, and compost pails for your home. Our 2025 guide helps Oakville & Halton residents choose the right products.","['kitchen trash can', 'recycling bin', 'compost bin', 'trash can liners', 'best trash bags', 'dual compartment trash can', 'waste management Halton Region', 'compostable bags Oakville']",https://pay.4more.ca/product-category/waste-management-trash-cans-liners/
3566,"Disinfectants & Sanitizers (Sprays, Wipes)",disinfectants-sanitizers-sprays-wipes,Glass & Window Cleaners - Shop Now,Shop Glass & Window Cleaners and more. Discover a wide range of Bathroom Toilet Cleaners within our Household Cleaners selection. Browse the best Bathroom Toilet Cleaners available.,['glass*&*window_cleaners'],https://pay.4more.ca/product-category/disinfectants-sanitizers-sprays-wipes/
