Table Name,Record ID,Product URL,Inspection Photo,Product Name,Description,Retail Price (CAD),Weight,Dimension,Brand,Good product images,Processing Status,Processing Timestamp,Error Message
Items-Bid4more,recULj3aJYUyyLeKC,https://www.lowes.com/pd/STEM-Ants-Roaches-and-Spiders-Repellent-10-oz-Home-and-Perimeter-Indoor-Outdoor-Bug-Spray/5013381251,,"STEM Home and Perimeter Ant, Roach and Spider Repellent, 10 oz","STEM Home and Perimeter Ant, Roach and Spider Repellent effectively kills ants, roaches and spiders inside the home and out.  This contact kill formula is powered by plant-derived essential oils that are safe for use around kids and pets when used as directed.",Not found,1.05 lb,"3.57"" W x 3.57"" D x 9.57"" H",STEM,"https://images.thdstatic.com/productImages/149d4f5e-9f9a-4f52-b956-9a1410128a67/svn/stem-pest-control-126288-64_400.jpg, https://images.thdstatic.com/productImages/fa108817-5c08-4c17-90fe-61b5032e4629/svn/stem-pest-control-126288-c3_400.jpg, https://images.thdstatic.com/productImages/e997f19c-8d7f-4700-a965-b15238900185/svn/stem-pest-control-126288-4f_400.jpg, https://images.thdstatic.com/productImages/15b06f71-8c9c-4d30-81e2-bb4b4209a7f6/svn/stem-pest-control-126288-1f_400.jpg",Completed,2025-07-21T14:00:35.934278,
Items-Bid4more,recy7MlGr0vhsXT2J,https://www.lorealparis.ca/en-ca/superior-preference/superior-preference-lb02-ultra-light-natural-blonde,,Superior preference Superior Preference LB02 Ultra Light Natural Blonde,"New & Improved Superior Preference hair dye is suitable for all hair types and provides beautiful 100% grey coverage with up to 9 weeks of fade-defying color. Thanks to a higher concentration of dyes, this permanent hair dye has color that lasts longer, delivering a high-impact shine!",Not found,Not found,Not found,L'Oréal Paris,https://www.lorealparis.ca/-/media/project/loreal/brand-sites/oap/americas/ca/products/hair-colour/superior-preference/2022-08/packshot-resize/065338055054-preference_shade_lb02_topview.png,Completed,2025-07-21T14:00:43.308972,
Items-Bid4more,recLH8SuWHPh6KhaL,https://www.walmart.com/ip/Dove-Plant-Based-Cleansing-Bar-Soap-Dry-Skin-Macadamia-Milk-Willow-Lavender-Sulfate-Free-5-oz-1-Count/5063980423,,"Dove Plant-Based Cleansing Bar Soap, Dry Skin, Macadamia Milk & Willow Lavender, Sulfate-Free, 5 oz, 1 Count","Dove Plant-Based Cleansing Bar Soap with macadamia milk and willow lavender gently cleanses and cares for dry skin. This sulfate-free and plant-based cleanser is gentle on skin and leaves it feeling soft and smooth, not dry or tight like ordinary bar soaps.",Not found,5 oz,Not found,Dove,https://i5.walmartimages.com/asr/35661b5c-44c5-407a-a49a-2c66751b662f.jepg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,Completed,2025-07-21T14:00:49.596706,
Items-Bid4more,rec2rGa6YDLKKQl4B,"https://www.lorealparisusa.com/hair-color/permanent/excellence-creme-permanent-triple-protection-hair-color#:~:text=Your%20Excellence%20just%20got%20better,TETRASODIUM%20PYROPHOSPHATE%20%E2%80%A2%20SODIUM%20SALICYLATE",,Excellence Excellence-Creme-Permanent-Triple-Protection-Hair-Color,"Your Excellence just got better. Introducing the New Triple Care Color routine that deeply cares for your hair, and with 100% gray hair coverage for all hair types, even on stubborn grays. The color creme is formulated with Pro-Keratine complex that protects as it colors.",Not found,Not found,Not found,L'Oréal Paris,https://www.lorealparisusa.com/-/media/project/loreal/brand-sites/oap/americas/us/products/hair-color/permanent/excellence-creme-permanent-triple-protection-hair-color/4-dark-brown/08-20-24/071249210529-t1.png?sc_lang=en-us,Completed,2025-07-21T14:00:54.161888,
Items-Bid4more,recxesFdzQJkCDsRZ,https://www.amazon.ca/Outlast-Ultra-Moisture-Beauty-Packaging/dp/B01DO8P34W,,Not found,Not found,Not found,Not found,Not found,Not found,,Completed,2025-07-21T14:00:57.950305,
Items-Bid4more,recNmdbeYzZnwHT6o,https://www.walmart.ca/en/ip/Native-Volumizing-Shampoo-Cucumber-Mint-Sulfate-Paraben-Free/6000205496703,,"Native Volumizing Shampoo, Cucumber & Mint, Sulfate & Paraben Free, 487mL","Native Cucumber & Mint Sulfate-Free Shampoo uses just 10 thoughtful ingredients to bring on the bounce. This cleansing mint shampoo provides weightless lift for full, voluminous hair.  Like all Native hair care products, it’s free of sulfates, parabens, silicone, and dye, and it’s vegan and cruelty-free.",CAD13.97,Not found,Not found,Native,https://i5.walmartimages.com/asr/e601e6ea-be7a-49a5-bf6d-3f72800f27d6.acdba71ac5e932015d74d81bc3cd3552.jpeg,Completed,2025-07-21T14:00:59.584991,
Items-Bid4more,recEqYaR5S4TopDU9,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Exfoliating Body Polish Scrub with Pomegranate Seeds & Shea Butter,"Dove Exfoliating Body Polish gently polishes away dull, dry skin with naturally-derived exfoliants, revealing radiant, healthy-looking skin. This moisturizing body scrub, with pomegranate seeds and shea butter, nourishes skin as it exfoliates.",$9.99,298 g,Not found,Dove,"https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-07731408.png, https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-76917083.png, https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-66000681.png",Completed,2025-07-21T14:01:07.474175,
Items-Bid4more,rec0nLAXK9TYREvzW,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Exfoliating Body Polish Pomegranate Seeds & Shea Butter,"Dove Exfoliating Body Polish Pomegranate Seeds & Shea Butter gently polishes away dull, dry skin.  Made with ¼ moisturizing cream and natural exfoliants, Dove body scrub reveals radiant, glowing skin after just one shower.",$8.99,298 g,Not found,Dove,"https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-558207-png.png, https://www.dove.com/content/dam/unilever/dove/canada/pdp_images/global/00011111054677-2127618-png.png.rendition.768.768.png",Completed,2025-07-21T14:01:12.594689,
Items-Bid4more,rec1ijWseXkCjWlbt,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Exfoliating Body Scrub Pomegranate Seeds & Shea Butter,"Dove Exfoliating Body Polish Pomegranate Seeds & Shea Butter gently polishes away dull, dry skin, leaving your skin feeling soft and smooth. This scrub contains naturally derived exfoliants that effectively remove dead skin cells, revealing radiant, healthy-looking skin.",$8.99,298 g,Not found,Dove,"https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-539449-png.png, https://www.dove.com/content/dam/unilever/dove/canada/pack_shot_secondary/00011111054677-539450-png.png, https://www.dove.com/content/dam/unilever/dove/canada/global_images/1364815-v01-png.png",Completed,2025-07-21T14:01:17.679050,
Items-Bid4more,recjvZhq5OfofCWd1,https://www.everymanjack.com/products/28-8oz-3-in-1-all-over-wash,,3-in-1 All Over Wash 28.8oz,"Our 3-in-1 All Over Wash simplifies your shower routine, formulated to cleanse your body while shampooing and conditioning your hair for a head-to-toe clean.",$22.50 CAD,975g,Not found,Every Man Jack,"http://www.everymanjack.com/cdn/shop/files/878639013704-everymanjack-AOW-28.8oz-cedarsage-main.jpg?v=1743175229, https://www.everymanjack.com/cdn/shop/files/878639016972-everymanjack-AOW-28.8oz-cedarsage-ingredients.jpg?v=1743175230, https://www.everymanjack.com/cdn/shop/files/878639020236-everymanjack-AOW-28.8oz-cedarsage-lifestyle.jpg?v=1743175231",Completed,2025-07-21T14:01:22.994369,
